"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ly6h1",1.61276786613952e-09,0.637406244349533,0.613,0.311,2.32125678973462e-05,"4","Ly6h"
"2900011O08Rik1",1.989200251226e-09,1.02661785587878,0.324,0.12,2.86305592158959e-05,"4","2900011O08Rik"
"Usp29",2.13430346927382e-09,1.84168045981985,0.279,0.093,3.07190298332581e-05,"4","Usp29"
"Ap2m1",2.31982206619612e-09,0.585411279211557,0.82,0.555,3.33891989987608e-05,"4","Ap2m1"
"Celf32",2.40407755159563e-09,1.26801754622709,0.441,0.214,3.46018882001158e-05,"4","Celf3"
"Cnih21",2.41678778124539e-09,0.93744071968576,0.541,0.288,3.47848265354649e-05,"4","Cnih2"
"Dtnbp1",2.45665222184334e-09,1.72999068621848,0.297,0.107,3.53585954289912e-05,"4","Dtnbp1"
"Usp341",2.50172953006364e-09,1.67651638696929,0.342,0.138,3.60073931262059e-05,"4","Usp34"
"Sox112",2.86019120197035e-09,0.559697281107574,0.982,0.57,4.11667319699593e-05,"4","Sox11"
"Grin2b",3.20296766280173e-09,2.01992174658287,0.261,0.084,4.61003135707053e-05,"4","Grin2b"
"Akap92",3.26059768567158e-09,0.852707952842193,0.577,0.331,4.69297824898711e-05,"4","Akap9"
"Svbp2",4.03544924051123e-09,0.678818932130554,0.685,0.42,5.80822209186782e-05,"4","Svbp"
"Fam134a1",4.1345364322546e-09,1.77012677154883,0.315,0.123,5.95083828694404e-05,"4","Fam134a"
"Ei241",6.08431751055839e-09,0.826060479709715,0.432,0.21,8.75715819294668e-05,"4","Ei24"
"Anapc5",7.69464909240213e-09,0.729444402654272,0.703,0.467,0.000110749084386944,"4","Anapc5"
"Ppp3ca1",1.07809401162456e-08,1.22532047958631,0.495,0.263,0.000155170071093122,"4","Ppp3ca"
"Sh3bp51",1.24444056774923e-08,1.4518495014162,0.36,0.158,0.000179112330916147,"4","Sh3bp5"
"mt-Nd4l1",1.27995375898022e-08,1.58235511141566,0.36,0.156,0.000184223744530023,"4","mt-Nd4l"
"Cfdp1",1.44504491814033e-08,0.554739683192072,0.604,0.362,0.000207985315067938,"4","Cfdp1"
"Ndufa8",1.73239201260371e-08,0.758846862065494,0.649,0.427,0.000249343182374052,"4","Ndufa8"
"Hn11",2.22861870250475e-08,0.462993014616912,0.964,0.719,0.000320765089851508,"4","Hn1"
"Luc7l32",2.24613081313468e-08,1.11335114104444,0.649,0.42,0.000323285607934474,"4","Luc7l3"
"Spag92",2.25019176150356e-08,1.23343305365244,0.414,0.203,0.000323870100233207,"4","Spag9"
"Qk1",2.28734984535441e-08,0.845254791557654,0.36,0.147,0.00032921826324186,"4","Qk"
"mt-Nd22",2.79087307662836e-08,0.605535287463832,0.874,0.607,0.00040169036191912,"4","mt-Nd2"
"Dynll21",3.01420279817518e-08,0.972755126461301,0.514,0.29,0.000433834208741354,"4","Dynll2"
"Tubb31",3.20091726581716e-08,0.521186847888317,0.973,0.577,0.000460708022069064,"4","Tubb3"
"Klc11",4.41385990967135e-08,0.696801634325376,0.541,0.318,0.000635286856798997,"4","Klc1"
"Serinc12",5.1866508176577e-08,0.921837748078308,0.477,0.268,0.000746514652185473,"4","Serinc1"
"Mrpl231",5.37577413071171e-08,0.590513676025033,0.586,0.361,0.000773735170633336,"4","Mrpl23"
"Hivep31",6.57021813752619e-08,1.72300907536401,0.252,0.09,0.000945651496534145,"4","Hivep3"
"Tcf42",7.21274472390567e-08,0.664658963001067,0.883,0.604,0.00103813034811174,"4","Tcf4"
"Hdgfrp31",7.87283965242773e-08,1.0242251982561,0.495,0.284,0.00113313781117392,"4","Hdgfrp3"
"Csnk2a1",1.22449169174571e-07,1.46866705627298,0.333,0.149,0.00176241089192959,"4","Csnk2a1"
"Dnajc52",1.28890564936231e-07,1.57633371203588,0.369,0.187,0.00185512190112717,"4","Dnajc5"
"Pabpn12",1.34506047856915e-07,1.2893139682806,0.477,0.286,0.00193594554680458,"4","Pabpn1"
"C530008M17Rik",1.35070113085895e-07,1.74555899926311,0.288,0.119,0.00194406413764529,"4","C530008M17Rik"
"H3f3a",1.41770626406245e-07,0.316721584051767,0.991,0.924,0.00204050462586509,"4","H3f3a"
"Rab2a",1.60554320545449e-07,0.667232224034837,0.631,0.441,0.00231085833561064,"4","Rab2a"
"Pak12",1.73124671839078e-07,1.29600868484935,0.342,0.16,0.00249178340177984,"4","Pak1"
"Pfdn21",2.02948345974227e-07,0.51449466659682,0.73,0.505,0.00292103554360705,"4","Pfdn2"
"Camk2n1",2.1961663401358e-07,1.8602642897207,0.252,0.095,0.00316094221335746,"4","Camk2n1"
"Mlf21",2.37858048913589e-07,0.600073522168837,0.667,0.441,0.00342349089801329,"4","Mlf2"
"Luc7l2",2.39406469750397e-07,0.873781446523521,0.523,0.318,0.00344577731911747,"4","Luc7l2"
"Gdi12",2.40521665509715e-07,0.953723167935338,0.577,0.385,0.00346182833168133,"4","Gdi1"
"Pnisr2",2.51052639467756e-07,1.2794895066065,0.559,0.364,0.00361340063985941,"4","Pnisr"
"Atat12",2.60560982375048e-07,1.00856957348322,0.568,0.353,0.00375025421932407,"4","Atat1"
"Map21",2.94827833745692e-07,1.04741077814594,0.495,0.284,0.00424345701110175,"4","Map2"
"Tmod2",2.96537744021204e-07,1.15127066046679,0.279,0.113,0.00426806774969719,"4","Tmod2"
"Cbarp1",3.07332047607349e-07,1.90799916971658,0.252,0.097,0.00442343016121257,"4","Cbarp"
"Meis3",3.26399757912607e-07,1.50601636258652,0.27,0.109,0.00469787171563616,"4","Meis3"
"Dpysl31",3.33169092323037e-07,0.713533873100124,0.712,0.463,0.00479530274580547,"4","Dpysl3"
"Gramd1a2",3.66360999899789e-07,1.57467553634384,0.351,0.176,0.00527303387155767,"4","Gramd1a"
"Celf11",3.80723933027619e-07,1.42647928175961,0.405,0.223,0.00547975956806652,"4","Celf1"
"Arl4c",3.85270297746435e-07,1.22279702440981,0.306,0.13,0.00554519539546443,"4","Arl4c"
"Bex21",4.20338636526938e-07,0.386269866526603,0.829,0.577,0.00604993399553222,"4","Bex2"
"Ankrd121",4.35024093310113e-07,1.232410107832,0.396,0.212,0.00626130177501246,"4","Ankrd12"
"Tacc22",4.40095612060591e-07,1.40843176832308,0.342,0.166,0.00633429614438809,"4","Tacc2"
"Rala1",4.41643995764889e-07,0.634595372187259,0.604,0.402,0.00635658203104405,"4","Rala"
"Fez11",4.78642982933826e-07,0.502986858447603,0.784,0.57,0.00688910845336656,"4","Fez1"
"Rsrp12",5.04870260785627e-07,0.632388138755688,0.685,0.436,0.00726659766348753,"4","Rsrp1"
"Zfp560",5.38583206512824e-07,1.49578371481999,0.324,0.151,0.00775182809133908,"4","Zfp560"
"Pkig",6.72658981576265e-07,0.654147913810196,0.468,0.26,0.00968158072182718,"4","Pkig"
"Ube3a2",7.99477750790746e-07,1.16856926429393,0.477,0.308,0.0115068832671312,"4","Ube3a"
"Camk11",8.61413755895972e-07,1.63517670663867,0.297,0.134,0.0123983281886107,"4","Camk1"
"Gm16732",8.80727207091635e-07,0.434937676713071,0.856,0.606,0.0126763066916699,"4","Gm1673"
"Rpp21",1.00901563077558e-06,1.23531015422959,0.306,0.142,0.0145227619737529,"4","Rpp21"
"Arid4a1",1.04793739665498e-06,1.71116157601269,0.279,0.122,0.0150829629500551,"4","Arid4a"
"Arl8a1",1.05717704939939e-06,1.17606573114181,0.414,0.235,0.0152159492720054,"4","Arl8a"
"Kifap31",1.07512699556951e-06,1.13666607491959,0.423,0.239,0.0154743028472319,"4","Kifap3"
"Arf5",1.19944107415442e-06,0.43730363087109,0.829,0.599,0.0172635553803046,"4","Arf5"
"Tsn2",1.21410640121336e-06,0.655755144106286,0.622,0.433,0.0174746334326639,"4","Tsn"
"Parp61",1.25803909201851e-06,1.40519061185022,0.36,0.185,0.0181069566514225,"4","Parp6"
"Gabbr11",1.31407887325222e-06,1.2442822138744,0.378,0.209,0.0189135372227192,"4","Gabbr1"
"Mageh1",1.34465514695815e-06,0.747057774331163,0.387,0.205,0.0193536215301687,"4","Mageh1"
"Bloc1s21",1.39654755741648e-06,1.01939053929407,0.405,0.224,0.0201005089938954,"4","Bloc1s2"
"Khdrbs21",1.40334341539232e-06,1.46632645755272,0.297,0.133,0.0201983217777417,"4","Khdrbs2"
"Dhx302",1.41694597673877e-06,1.2752982100139,0.396,0.216,0.0203941034432011,"4","Dhx30"
"Gpatch82",1.49549949187478e-06,1.55670799420014,0.342,0.174,0.0215247241865537,"4","Gpatch8"
"Tecr1",1.81659956605223e-06,0.521338178594849,0.739,0.506,0.0261463175541897,"4","Tecr"
"Apbb11",1.81971290764171e-06,0.743922701829458,0.414,0.237,0.0261911278796871,"4","Apbb1"
"Marcks1",1.90665398167471e-06,0.57025690843072,0.703,0.484,0.0274424707582441,"4","Marcks"
"H3f3b1",1.90903060983685e-06,0.348906030892116,0.991,0.874,0.0274766775673817,"4","H3f3b"
"Hnrnpab2",1.93033160006458e-06,0.498491429095829,0.793,0.596,0.0277832627197295,"4","Hnrnpab"
"Mien12",1.94535641412844e-06,0.662959078188538,0.577,0.379,0.0279995148685507,"4","Mien1"
"Chl11",2.03150121936705e-06,1.78561910647156,0.261,0.111,0.0292393970503499,"4","Chl1"
"Fnbp1l1",2.04069871652622e-06,0.879831141709797,0.459,0.264,0.0293717766269618,"4","Fnbp1l"
"Ywhaz2",2.12840354173276e-06,0.817186667088952,0.532,0.344,0.0306341121761596,"4","Ywhaz"
"Sept61",2.15770522875407e-06,1.19276321304228,0.252,0.104,0.0310558513574573,"4","Sept6"
"Trim35",2.1940702911339e-06,1.26698392597751,0.315,0.155,0.0315792537002903,"4","Trim35"
"Tbce1",2.21761512585458e-06,2.40647084426986,0.261,0.115,0.031918134506425,"4","Tbce"
"Zmynd81",2.35663600834008e-06,1.84480809209406,0.27,0.12,0.0339190620680387,"4","Zmynd8"
"Ubqln22",2.40276336960007e-06,1.58092384531953,0.351,0.185,0.0345829731786538,"4","Ubqln2"
"Glyr11",2.76907546731933e-06,0.870825678819305,0.333,0.166,0.0398553032011271,"4","Glyr1"
"Camta11",2.83973540445057e-06,1.07637609255308,0.441,0.27,0.0408723116762571,"4","Camta1"
"Rtf12",3.09393225885104e-06,0.711253391357167,0.613,0.416,0.044530967001643,"4","Rtf1"
"Hnrnph1",3.27774394529553e-06,0.311851535174124,0.685,0.472,0.0471765686046385,"4","Hnrnph1"
"Rnf1652",3.61461664550842e-06,1.19553973050732,0.432,0.263,0.0520251773788027,"4","Rnf165"
"Shd2",3.64791546416702e-06,1.27672833840432,0.279,0.129,0.0525044472757559,"4","Shd"
"Pfdn5",3.78596315995058e-06,0.214394823732659,0.946,0.692,0.0544913677611687,"4","Pfdn5"
"Map4k42",3.90506533268067e-06,0.87264607188253,0.459,0.281,0.0562056053332729,"4","Map4k4"
"mt-Nd52",4.0784041375059e-06,0.642140194513618,0.577,0.379,0.0587004707511224,"4","mt-Nd5"
"Psip1",4.35785254862441e-06,0.441340398462988,0.685,0.506,0.0627225717323511,"4","Psip1"
"Stx71",4.78372075915395e-06,0.762844424828992,0.45,0.266,0.0688520928865028,"4","Stx7"
"Coq51",5.00424388923998e-06,1.10714856333674,0.288,0.138,0.072026082297831,"4","Coq5"
"Ap1s1",5.11136726505041e-06,0.722485434150049,0.387,0.209,0.0735679090458705,"4","Ap1s1"
"Sltm",5.40090157699543e-06,1.02285188731953,0.387,0.219,0.0777351763976953,"4","Sltm"
"Nagk1",5.47269382979253e-06,1.19022292327145,0.36,0.198,0.0787684822922039,"4","Nagk"
"Mycbp21",5.6307695332874e-06,1.10900107565546,0.351,0.189,0.0810436658926056,"4","Mycbp2"
"2810428I15Rik1",5.9906095415168e-06,0.720226713264621,0.505,0.331,0.0862228431310514,"4","2810428I15Rik"
"Fus",6.15451921857765e-06,0.215918464735326,0.856,0.615,0.0885819951129882,"4","Fus"
"Ptov12",6.20968492642055e-06,0.330653743219151,0.883,0.649,0.089375995145971,"4","Ptov1"
"Whsc11",6.22303399096478e-06,1.38398136571612,0.324,0.165,0.0895681282319561,"4","Whsc1"
"Dync1i21",6.56273719070198e-06,0.54827823804471,0.595,0.398,0.0944574763857736,"4","Dync1i2"
"Smarcd12",6.65439443771008e-06,1.17487997869841,0.369,0.206,0.0957766991419612,"4","Smarcd1"
"Eif2b41",7.38958925137925e-06,1.20244501605715,0.261,0.12,0.106358358095102,"4","Eif2b4"
"Adgrl11",7.49883530314133e-06,1.27271236393032,0.324,0.17,0.107930736518113,"4","Adgrl1"
